,Title,Ingredients,Servings,Difficulty,Calories,Fats/g,Protein/g,Carbs/g,Time,URL,Ingredients_parsed,Ingredients_final
284,Pork afelia,"['1 onion', '2-3 garlic cloves', '2 tablespoons coriander seeds', '4 tablespoons olive oil', '1.5 kg higher-welfare pork shoulder , cut into 5cm pieces', '375 ml dry red wine', '200 ml passata', 'kefalotiri or Parmesan cheese']",8,Super easy,328.0,13.0,41.0,3.5,2 hours 20 minutes,https://www.jamieoliver.com/recipes/pork-recipes/pork-afelia/,onion garlic clove coriander seed olive oil higher welfare pork shoulder cut into piece dry red wine passata kefalotiri or parmesan cheese,onion garlic coriander pork wine passata kefalotiri parmesan cheese
285,Gurkha chicken curry,"['8 large free-range chicken thighs , skin on, bone in', '1 large onion', '3 potatoes', '4 large ripe tomatoes', '½ a bunch of fresh coriander , (15g)', 'vegetable oil', '1 stick of cinnamon', '4 cloves', '1 teaspoon cumin seeds', '3 fresh bay leaves', '1 teaspoon ground turmeric', '1 tablespoon ground coriander', '1 fresh red chilli , (optional)', 'MARINADE', '5 cm piece of ginger', '1 bulb of garlic', '1 teaspoon fennel seeds', '5 cardamom pods', '1 teaspoon hot chilli powder', '1 lemon', '250 ml fat-free natural yoghurt']",8,Not too tricky,249.0,12.6,19.2,17.4,1 hour 45 minutes plus marinating,https://www.jamieoliver.com/recipes/chicken-recipes/gurkha-chicken-curry/,large free range chicken thigh skin bone large onion potato large ripe tomato a bunch fresh coriander vegetable oil stick cinnamon clove cumin seed fresh bay leaf ground turmeric ground coriander fresh red chilli marinade piece ginger garlic fennel seed cardamom pod hot chilli powder lemon fat free natural yoghurt,chicken onion potato tomato coriander cinnamon cumin turmeric coriander marinade ginger garlic fennel cardamom pod lemon yoghurt
286,Rabbit ragu,"['35 g pancetta', '2 stalks of celery', '1 small leek', '1 carrot', '1 onion', '2 cloves of garlic', '½ a bunch of fresh parsley', '30 g pork fat', '35 g prosciutto fat', '1 x 700 g wild rabbit, deboned and diced (about 450g meat)', '1 fresh bay leaf', '½ a small bunch of fresh sage', '2 sprigs of fresh rosemary', '90 ml white wine', '1 fresh red chilli', '500 ml organic vegetable stock', '500 g tagliolini', '4 tablespoons mascarpone cheese', '1 lemon', '20 g butter', '40 g Parmesan cheese', 'PANGRATTATO', 'olive oil', '1 clove of garlic', '50 g breadcrumbs']",6,Not too tricky,749.0,33.5,34.5,73.6,4 hours 50 minutes,https://www.jamieoliver.com/recipes/game-recipes/rabbit-ragu/,pancetta stalk celery small leek carrot onion clove garlic a bunch fresh parsley pork fat prosciutto fat wild deboned and diced fresh bay leaf a small bunch fresh sage sprig fresh rosemary white wine fresh red chilli organic vegetable stock tagliolini mascarpone cheese lemon butter parmesan cheese pangrattato olive oil clove garlic breadcrumb,pancetta celery leek carrot onion garlic pork prosciutto deboned diced sage rosemary wine tagliolini mascarpone cheese lemon butter parmesan cheese pangrattato garlic breadcrumb
287,Broccoli soup,"['1 clove of garlic', '2 sticks of celery', '400 g broccoli', '½ a bunch of fresh mint', 'olive oil', '1 litre chicken or vegetable stock cube , organic if you can afford', 'ricotta cheese']",3,Super easy,115.0,4.4,13.1,5.1,20 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/broccoli-soup/,clove garlic stick celery broccoli a bunch fresh mint olive oil chicken or vegetable stock cube organic if you can afford ricotta cheese,garlic celery broccoli mint chicken you can afford cheese
288,Pasta with aubergine & tomato sauce,"['1 small onion', '2 cloves of garlic', '½ a bunch of fresh basil', '2 aubergines', '4-6 tablespoons olive oil', '1 x 400 g tin of quality chopped tomatoes', '500 g dried rigatoni', '80 g ricotta cheese']",4 to 6,Not too tricky,510.0,15.6,18.8,78.9,40 minutes,https://www.jamieoliver.com/recipes/pasta-recipes/pasta-with-aubergine-tomato-sauce/,small onion clove garlic a bunch fresh basil aubergine olive oil tin quality chopped tomato dried rigatoni ricotta cheese,onion garlic basil tomato rigatoni cheese
289,Beef brisket with red wine & shallots,"['12 shallots', '6 cloves of garlic', '2 tablespoons extra virgin olive oil', '1.5 kg brisket of beef , rolled and tied', '1 whole nutmeg , for grating', '1 x 400 g tin of chopped tomatoes', '2 tablespoons tomato purée', '250 ml red wine', '2 fresh bay leaves', '1 stick of cinnamon', '1 small handful of black olives', '1 teaspoon dried oregano', 'a few sprigs of fresh thyme', '2 tablespoons red wine vinegar']",8,Not too tricky,481.0,32.5,36.3,4.4,2 hours 35 minutes,https://www.jamieoliver.com/recipes/beef-recipes/beef-brisket-with-red-wine-shallots/,shallot clove garlic extra virgin olive oil brisket beef rolled and tied nutmeg for grating tin chopped tomato tomato puree red wine fresh bay leaf stick cinnamon small handful black olive dried oregano a few sprig fresh thyme red wine vinegar,shallot garlic brisket beef rolled tied nutmeg tomato tomato wine cinnamon oregano thyme wine
290,Spiced parsnip & lentil soup with chilli oil,"['1 small smoked higher-welfare ham hock', '1 onion', '3cm piece of ginger', '400 g parsnips', 'olive oil', '2 tablespoons rogan josh paste', '250 g red lentils', '1.6 litres organic vegetable stock , (optional)', 'a few sprigs of fresh mint', 'fat-free Greek yoghurt', 'CHILLI OIL', '3 tablespoons groundnut oil', '1 garlic clove', '2 red chillies']",4-6,Not too tricky,613.0,27.8,41.1,52.5,2 hours 20 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/spiced-parsnip-amp-lentil-soup-with-chilli-oil/,small smoked higher welfare ham hock onion piece ginger parsnip olive oil rogan josh paste red lentil organic vegetable stock a few sprig fresh mint fat free greek yoghurt chilli oil groundnut oil garlic clove red chilli,ham hock onion ginger parsnip rogan josh lentil mint greek yoghurt garlic
291,"Hake with braised artichokes, peas & bacon","['olive oil', '8 small shallots', 'a few sprigs of fresh thyme', '4 violet artichokes', '3 rashers of higher-welfare bacon', 'sherry vinegar', '200 ml organic chicken stock', '1 handful of frozen peas', '4 x 125 - 150 g hake fillets, skin on', 'extra virgin olive oil', '1 lemon']",4,Not too tricky,361.0,14.8,34.2,15.3,50 minutes,https://www.jamieoliver.com/recipes/fish-recipes/hake-with-braised-artichokes-peas-amp-bacon/,olive oil small shallot a few sprig fresh thyme violet artichoke rasher higher welfare bacon sherry vinegar organic chicken stock handful frozen pea hake skin on extra virgin olive oil lemon,shallot thyme violet artichoke bacon sherry chicken pea hake lemon
292,Epic egg salad,"['4 quality anchovies in oil', '½ a lemon', '½ a bunch of fresh flat-leaf parsley', '½ a bunch of fresh chives', '1 dried red chilli', '4 large free-range eggs', '2 round lettuces', '1 red chicory', '1 white chicory', '1 x 20 g punnet cress', 'SALAD CREAM', '½ a clove of garlic', '2 teaspoons Dijon mustard', '2 tablespoons cider vinegar', '6 tablespoons rapeseed oil', '3 tablespoons buttermilk']",4,Super easy,332.0,30.1,9.6,4.2,20 minutes,https://www.jamieoliver.com/recipes/eggs-recipes/epic-egg-salad/,quality anchovy oil a lemon a bunch fresh flat leaf parsley a bunch fresh chive dried red chilli large free range egg round lettuce red chicory white chicory punnet cress salad cream a clove garlic dijon mustard cider vinegar rapeseed oil buttermilk,anchovy lemon egg round lettuce chicory chicory cress garlic mustard rapeseed buttermilk
293,Fennel-roasted salmon with soft-boiled eggs,"['1 tablespoon fennel seeds', '1 x 1 kg side of salmon or 2 x 500g wild salmon fillets, scaled and pin-boned, from sustainable sources', '1 lemon', '6 tablespoons crème fraîche', '3 tablespoons freshly grated horseradish (or use from a jar if you can’t find fresh)', 'extra virgin olive oil', '16 free-range quail eggs or 8 free-range hen eggs', '2 good handfuls of watercress', '½ a bunch of fresh dill']",8,Super easy,447.0,33.9,32.4,3.1,30 minutes,https://www.jamieoliver.com/recipes/fish-recipes/fennel-roasted-salmon-with-soft-boiled-eggs/,fennel seed side salmon or wild salmon scaled and pin from sustainable source lemon creme fraiche freshly grated horseradish use from a jar if you find extra virgin olive oil free range quail egg or free range hen egg good handful watercress a bunch fresh dill,fennel side salmon salmon scaled lemon horseradish use jar you find quail egg hen egg watercress dill
294,Black pudding crumpets,"['100 g quality black pudding', '1 eating apple', '1 lemon', 'olive oil', '3 tablespoons maple syrup', '4 crumpets', 'extra virgin olive oil', '30 g watercress']",2,Super easy,628.0,31.1,13.2,72.0,10 minutes,https://www.jamieoliver.com/recipes/pork-recipes/black-pudding-crumpets/,quality black pudding eating apple lemon olive oil maple syrup crumpet extra virgin olive oil watercress,pudding eating apple lemon maple syrup crumpet watercress
295,Haggis scotch eggs,"['6 medium free-range eggs', '160 g quality haggis', 'a few sprigs of fresh flat-leaf parsley', '200 g higher-welfare pork sausage meat or 2 thick higher-welfare pork sausages', '40 g plain flour', '1 splash of milk', '120 g panko breadcrumbs', '500 ml vegetable oil , for deep-frying']",4,Not too tricky,636.0,51.0,26.8,19.9,40 minutes,https://www.jamieoliver.com/recipes/pork-recipes/haggis-scotch-eggs/,free range egg quality haggis a few sprig fresh flat leaf parsley higher welfare pork sausage meat or thick higher welfare pork sausage plain flour splash milk panko breadcrumb vegetable oil for deep frying,egg haggis pork sausage meat pork sausage milk panko breadcrumb deep frying
296,Venison steak-frites,"['1 clove of garlic', '1 dried red chilli', '2 sprigs of fresh rosemary', '½ an orange or 1 lemon', 'olive oil', '2 venison haunch steaks', 'English mustard', 'cranberry sauce or redcurrant jelly', 'SHOESTRING FRIES', '500 g baking potatoes', '1 litre vegetable oil , for deep-frying']",2,Not too tricky,669.0,37.8,27.7,52.9,20 minutes plus marinating time,https://www.jamieoliver.com/recipes/game-recipes/venison-steak-frites/,clove garlic dried red chilli sprig fresh rosemary an orange or lemon olive oil venison haunch steak english mustard cranberry sauce or redcurrant jelly shoestring fry baking potato vegetable oil for deep frying,garlic rosemary an lemon venison haunch mustard cranberry redcurrant jelly shoestring fry baking potato deep frying
297,Picnic pie,"['3 cloves of garlic', '3 sprigs of fresh rosemary', '2 large red onions', '2 aubergines', '2 courgettes', '1 medium butternut squash', 'olive oil', '3 large red peppers', '1 tablespoon balsamic vinegar', '½ teaspoon golden caster sugar', '600 g baby spinach', '200 g ricotta cheese', '2 lemons', '60 g Parmesan cheese', 'unsalted butter , for greasing', 'plain flour , for dusting', '640 g shortcrust pastry', '1 bunch of fresh basil', '100 g soft goat’s cheese', '1 large free-range egg']",10 to 12,Showing off,536.0,33.0,15.4,47.4,2 hours 20 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/picnic-pie/,clove garlic sprig fresh rosemary large red onion aubergine courgette butternut squash olive oil large red pepper balsamic vinegar golden caster sugar baby spinach ricotta cheese lemon parmesan cheese unsalted butter for greasing plain flour for dusting shortcrust pastry bunch fresh basil soft cheese large free range egg,garlic rosemary onion courgette golden caster spinach cheese lemon parmesan cheese butter greasing shortcrust basil cheese egg
298,One-tray bake,"['1 bunch of fresh basil', '1 bulb of garlic', '1 handful of black olives', '1 small ciabatta loaf', '8 free-range chicken thighs or drumsticks', '2 handfuls of cherry tomatoes', 'olive oil', '1 dried red chilli', '8 slices of higher-welfare pancetta or thin-sliced smoked streaky bacon']",4 to 6,Super easy,672.0,36.6,48.7,36.7,50 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/one-tray-bake/,bunch fresh basil garlic handful black olive small ciabatta loaf free range chicken thigh or drumstick handful cherry tomato olive oil dried red chilli higher welfare pancetta or thin sliced smoked streaky bacon,basil garlic ciabatta loaf chicken drumstick tomato pancetta thin bacon
299,Chickpea flour pancakes with salad & chutney,"['½ a medium onion', '½ a fresh green chilli', 'a few sprigs of fresh coriander', '½ teaspoon cumin seeds', '1 teaspoon dried pomegranate seeds , (see note)', '300 g gram (chickpea) flour', '½ teaspoon ground coriander', '¼ teaspoon ground turmeric', 'red chilli powder , to taste', 'sunflower oil , for greasing', 'TOMATO & RAISIN CHUTNEY', '50 g golden raisins', '300 g ripe tomatoes', '2 cm piece of ginger', 'a few sprigs of fresh coriander', '1 tablespoon sunflower oil', '1 tablespoon panch phoran , (see note)', '1 small dried red chilli', '1 tablespoon tomato purée', '100 g palm sugar', '60 ml white wine vinegar', '½ teaspoon ground coriander', '¼ teaspoon garam masala', 'AVOCADO & ROCKET SALAD', '2 ripe avocados', '1 large grapefruit', '½ medium red onion', '1 small bunch of baby rocket', '2 tablespoon olive oil', '1 tablespoon aged balsamic vinegar']",4,Not too tricky,681.0,26.6,20.5,82.2,55 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/chickpea-flour-pancakes-with-salad-chutney/,a onion a fresh green chilli a few sprig fresh coriander cumin seed dried pomegranate seed flour ground coriander ground turmeric red chilli powder to taste sunflower oil for greasing tomato raisin chutney golden raisin ripe tomato piece ginger a few sprig fresh coriander sunflower oil panch phoran small dried red chilli tomato puree palm sugar white wine vinegar ground coriander garam masala avocado rocket salad ripe avocado large grapefruit red onion small bunch baby rocket olive oil aged balsamic vinegar,onion coriander cumin coriander turmeric taste sunflower greasing tomato raisin chutney golden raisin tomato ginger coriander sunflower panch phoran tomato palm wine coriander avocado rocket avocado grapefruit onion rocket aged
300,Sprouting super salad,"['70 g whole unpeeled hazelnuts', '200 g chantenay carrots', '2 tablespoons maple syrup or runny honey', '1 tablespoon avocado oil', '200 g sprouting seed mix', '6 sprigs of fresh flat-leaf parsley', 'ORANGE & HONEY DRESSING', '1 small orange', '1 tablespoon avocado oil', '2 teaspoons maple syrup or runny honey']","2, or 4 as a side",Super easy,517.0,36.1,10.3,33.4,40 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/sprouting-super-salad/,unpeeled hazelnut chantenay carrot maple syrup or runny honey avocado oil sprouting seed mix sprig fresh flat leaf parsley orange honey dressing small orange avocado oil maple syrup or runny honey,unpeeled hazelnut chantenay carrot maple syrup honey avocado sprouting mix honey avocado maple syrup honey
301,Bulgur & lentil salad,"['150 g dark bulgur wheat', '150 g green or yellow lentils', '2 cloves of garlic', '2 fresh bay leaves', '6 spring onions', '2 ripe tomatoes', '2 red peppers', '1 red onion', '½ a bunch of fresh flat-leaf parsley', '½ a bunch of fresh mint', '½ a bunch of fresh dill', '150 ml extra virgin olive oil', '4 tablespoons pomegranate molasses', '2 lemons', '1 teaspoon sumac']",4-6,Not too tricky,574.0,35.9,13.2,51.1,1 hour plus infusion,https://www.jamieoliver.com/recipes/vegetables-recipes/bulgur-amp-lentil-salad/,dark bulgur wheat green or yellow lentil clove garlic fresh bay leaf spring onion ripe tomato red pepper red onion a bunch fresh flat leaf parsley a bunch fresh mint a bunch fresh dill extra virgin olive oil pomegranate molasses lemon sumac,dark bulgur wheat lentil garlic onion tomato onion mint dill molasses lemon sumac
302,Chicken & green mango Thai salad,"['1 handful of unsalted peanuts', '2 x 300 g free-range chicken breasts', '1-2 carrots', '1 cucumber', '1 green mango', '1 bunch of fresh mint', '1 small red onion', '2 spring onions', '1 handful of ripe plum or cherry tomatoes', 'optional:', '1 handful of beansprouts', 'optional:', '1 handful of deep-fried beancurd', 'optional:', 'a few sprigs of fresh coriander', 'optional:', '1 fresh red chilli', 'DRESSING', '2 tablespoons fish sauce', '3 tablespoons rice wine vinegar', '1 lime', '2 tablespoons palm sugar', '1 clove of garlic', '1-2 fresh red or green Bird’s Eye chillies']","4 as a main, 6 as a starter",Not too tricky,271.0,5.4,28.2,24.1,1 hour,https://www.jamieoliver.com/recipes/chicken-recipes/chicken-green-mango-thai-salad/,handful unsalted peanut free range chicken breast carrot cucumber green mango bunch fresh mint small red onion spring onion handful ripe plum or cherry tomato  handful beansprouts  handful deep fried beancurd  a few sprig fresh coriander  fresh red chilli dressing fish sauce rice wine vinegar lime palm sugar clove garlic fresh red or green eye chilli,peanut chicken carrot cucumber mango mint onion onion tomato beansprouts deep fried beancurd coriander rice wine lime palm garlic eye
303,Partridge kyiv,"['1 clove of garlic', '75 g unsalted butter , (at room temperature)', '½ a bunch of fresh flat-leaf parsley', '4 x 60 g skinless partridge breasts', '50 g plain flour', '2 large free-range eggs', '2 handfuls of stale breadcrumbs', 'olive oil', '1 lemon']",4,Not too tricky,390.0,20.7,29.2,20.5,35 minutes plus chilling,https://www.jamieoliver.com/recipes/game-recipes/partridge-kyiv/,clove garlic unsalted butter room a bunch fresh flat leaf parsley skinless partridge breast plain flour large free range egg handful stale breadcrumb olive oil lemon,garlic butter room partridge egg stale breadcrumb lemon
304,Grilled veal with Welsh rarebit,"['3x 220 g higher-welfare veal rump steaks', '2 tablespoons olive oil', '½ a bunch of fresh thyme', 'WELSH RAREBIT', '25 g butter', '25 g plain flour', '1¼ teaspoon mustard powder', '200 ml stout', '200 g mature Cheddar cheese', '½-1 teaspoon truffle oil', '6 slices of bread', 'Worcestershire sauce']",6,Not too tricky,470.0,23.4,38.7,26.3,55 minutes,https://www.jamieoliver.com/recipes/beef-recipes/grilled-veal-with-welsh-rarebit/,higher welfare veal rump steak olive oil a bunch fresh thyme welsh rarebit butter plain flour mustard powder stout mature cheddar cheese truffle oil bread worcestershire sauce,veal rump thyme welsh rarebit butter mustard stout mature cheddar cheese truffle
305,Game salad recipe | Jamie Oliver recipes,"['2 bunches of watercress', 'a few sprigs of fresh thyme', '½ a ready-to-bake ciabatta', '1 tablespoon groundnut oil', '1 whole nutmeg , for grating', '200 g green beans', '2 tablespoons freshly grated horseradish', '2-3 tablespoons red wine vinegar', '3 tablespoons crème fraîche', 'extra virgin olive oil', '1 lemon', '300-400 g leftover roast pheasant and partridge']",4 as a main,Super easy,512.0,35.0,28.0,22.0,25 minutes,https://www.jamieoliver.com/recipes/game-recipes/game-bird-salad-with-horseradish-dressing/,bunch watercress a few sprig fresh thyme a ready to bake ciabatta groundnut oil nutmeg for grating green bean freshly grated horseradish red wine vinegar creme fraiche extra virgin olive oil lemon leftover roast pheasant and partridge,watercress thyme ready bake ciabatta nutmeg horseradish wine lemon roast pheasant partridge
306,Arrosto misto,"['1 bulb of garlic', '½ a bunch of fresh thyme , (15g)', 'olive oil', '1 x 1.8 kg whole free-range chicken', '1 lemon', '1 x 2 kg duck', '1 stick of cinnamon', '½ a bunch of fresh sage , (15g)', '4 bulbs of fennel', '6 red onions', '8 sturdy sprigs of fresh rosemary', '2 pigeons', '2 partridges', '2 quails', '500 g quality sausages , in one string', '8 fresh bay leaves', '1 tablespoon plain flour', '150 ml Chianti , or other red wine', '1 x 400 g tin of quality plum tomatoes', '300 ml quality organic chicken stock', 'GREMOLATA', '2 cloves of garlic', '½ a bunch of fresh flat-leaf parsley , (15g)', '1 lemon', 'POLENTA', '250 g coarse polenta', '100 g unsalted butter', '150 g Parmesan cheese']",14,Not too tricky,593.0,30.3,57.4,20.7,2 hours 30 minutes,https://www.jamieoliver.com/recipes/game-recipes/arrosto-misto/,garlic a bunch fresh thyme olive oil free range chicken lemon duck stick cinnamon a bunch fresh sage fennel red onion sturdy sprig fresh rosemary pigeon partridge quail quality sausage one string fresh bay leaf plain flour chianti or other red wine tin quality plum tomato quality organic chicken stock gremolata clove garlic a bunch fresh flat leaf parsley lemon polenta coarse polenta unsalted butter parmesan cheese,garlic thyme chicken lemon duck cinnamon sage fennel onion sturdy rosemary pigeon partridge quail sausage one string chianti other wine tomato chicken gremolata garlic lemon polenta coarse polenta butter parmesan cheese
307,David Tennant's Croatian-style cuttlefish risotto,"['1 x 1.2 kg cuttlefish , cleaned, skin and trimmings reserved (500g total meat), from sustainable sources', '1 litre quality organic chicken stock , (optional)', '1 red onion', '1 clove of garlic', '½ a bunch of fresh flat-leaf parsley , (15g)', '3 large ripe tomatoes', 'olive oil', '30 g unsalted butter', '3 anchovy fillets in oil , from sustainable sources', '1 tablespoon tomato purée', '50 ml white wine', '1 teaspoon cuttlefish ink , from sustainable sources', '300 g risotto rice', '1 fresh red chilli', '1 lemon', 'extra virgin olive oil']",4,Showing off,551.0,14.6,35.2,67.4,1 hour,https://www.jamieoliver.com/recipes/rice-recipes/david-tennant-s-croatian-style-cuttlefish-risotto/,cuttlefish skin and trimming reserved total from sustainable source quality organic chicken stock red onion clove garlic a bunch fresh flat leaf parsley large ripe tomato olive oil unsalted butter anchovy fillet oil from sustainable source tomato puree white wine cuttlefish ink from sustainable source risotto rice fresh red chilli lemon extra virgin olive oil,cuttlefish trimming reserved total chicken onion garlic tomato butter anchovy tomato wine cuttlefish ink risotto rice lemon
308,Warm mackerel & potato salad,"['600 g Jersey royal potatoes', '1 bunch of spring onions', '1 bunch of fresh flat-leaf parsley', '200 g quality chorizo', '2 lemons', 'extra virgin olive oil', '4 mackerel fillets, from sustainable sources']",4,Not too tricky,766.0,51.8,49.1,25.9,45 minutes,https://www.jamieoliver.com/recipes/fish-recipes/warm-mackerel-potato-salad/,jersey royal potato bunch spring onion bunch fresh flat leaf parsley quality chorizo lemon extra virgin olive oil mackerel from sustainable source,jersey royal potato onion chorizo lemon mackerel
309,Post-gym super salad,"['60 g regular, black or red quinoa', '¼ of a small cucumber', '¼ of a small iceberg lettuce', '½ a small carrot', '½ an eating apple', '1 ripe tomato', '½-1 fresh red chilli', '2 sprigs of fresh mint', '1 small handful of baby spinach', '1 lime', '1 heaped tablespoon natural yoghurt', '1 teaspoon hot chilli sauce', '80 g leftover cooked skinless chicken breast', '½ a punnet of cress']",1,Not too tricky,400.0,6.8,38.1,49.6,30 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/post-gym-super-salad/,black or red quinoa a small cucumber a small iceberg lettuce a small carrot an eating apple ripe tomato fresh red chilli sprig fresh mint small handful baby spinach lime natural yoghurt hot chilli sauce leftover cooked skinless chicken breast a punnet cress,quinoa cucumber iceberg lettuce carrot an eating apple tomato mint spinach lime yoghurt chicken cress
310,Caldo verde,"['1 large onion', '2 cloves of garlic', '700 g potatoes', '300 g kale or cavolo nero', 'extra virgin olive oil', '150 g higher-welfare chorizo', 'paprika']",4,Super easy,493.0,38.2,10.6,25.0,50 minutes,https://www.jamieoliver.com/recipes/pork-recipes/caldo-verde/,large onion clove garlic potato kale or cavolo nero extra virgin olive oil higher welfare chorizo paprika,onion garlic potato kale cavolo nero chorizo paprika
311,Classic minestrone,"['4 rashers of higher-welfare smoked streaky bacon', '2 red onions', '2 cloves of garlic', '2 carrots', '2 sticks of celery', '1 bulb of fennel', '½ a bunch of fresh basil', 'olive oil', '125 ml red wine', '2 courgettes', '300 g savoy cabbage or chard', '2 x 400 g tins of quality plum tomatoes', '1 x 400 g tin of cannellini beans', '800 ml organic chicken or vegetable stock', '75 g dried pasta (shells or odd ends)', 'extra virgin olive oil', 'Parmesan cheese']",8,Not too tricky,228.0,8.4,12.1,22.6,1 hour,https://www.jamieoliver.com/recipes/vegetables-recipes/classic-minestrone/,rasher higher welfare smoked streaky bacon red onion clove garlic carrot stick celery fennel a bunch fresh basil olive oil red wine courgette savoy cabbage or chard tin quality plum tomato tin cannellini bean organic chicken or vegetable stock dried pasta or odd extra virgin olive oil parmesan cheese,bacon onion garlic carrot celery fennel basil wine courgette savoy cabbage chard tomato cannellini chicken pasta odd parmesan cheese
312,Fearne Cotton's Mexican fish tacos,"['1 bulb of garlic', '½ a red cabbage , (400g)', '1 fresh green jalapeño chilli', '1 tablespoon red wine vinegar', '150 g soured cream or natural yoghurt', '1 lime', '4 sprigs of fresh flat-leaf parsley', '4–8 flour tortillas', '1 x 400 g tin of cannellini beans', 'olive oil', '4 x 200 g haddock fillets , skin on, scaled, pin-boned, from sustainable sources', '1 lemon', 'PINEAPPLE SALSA', '1 small fresh pineapple', '1 small red onion', '½ a bunch of fresh mint , (15g)', '2 fresh mixed-colour chillies', '2 limes', 'extra virgin olive oil', 'GUACAMOLE', '½ a small red onion', '2 spring onions', '1–2 fresh red chillies', '2 ripe tomatoes', '3 ripe avocados', '½ a bunch of fresh mint , (15g)', '1 lime']",4,Not too tricky,751.0,26.3,56.4,72.0,1 hour 25 minutes,https://www.jamieoliver.com/recipes/fish-recipes/mexican-fish-tacos/,garlic a red cabbage fresh green jalapeno chilli red wine vinegar soured cream or natural yoghurt lime sprig fresh flat leaf parsley flour tortilla tin cannellini bean olive oil haddock fillet skin pin from sustainable source lemon pineapple salsa small fresh pineapple small red onion a bunch fresh mint fresh mixed colour chilli lime extra virgin olive oil guacamole a small red onion spring onion fresh red chilli ripe tomato ripe avocado a bunch fresh mint lime,garlic cabbage jalapeno wine soured yoghurt lime cannellini haddock lemon pineapple pineapple onion mint lime guacamole onion onion tomato avocado mint lime
313,Baked potato soup,"['3 large baking potatoes or leftover baked potatoes', '40 g butter', '1 onion', '1 Parmesan rind , whatever size you have in the fridge, optional', '1.5 litres organic chicken or vegetable stock', 'sour cream', '1 small bunch of fresh chives']",4–6,Not too tricky,353.0,16.6,12.4,36.1,2 hours 20 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/baked-potato-soup/,large baking potato or leftover baked potato butter onion parmesan rind whatever size you have the optional organic chicken or vegetable stock sour cream small bunch fresh chive,baking potato baked potato butter onion parmesan rind whatever size you have chicken sour
314,"Parsnip, sage & white bean soup","['SOUP', '1 onion', '2 large parsnips', '1 x 420 g tin of cannellini beans', '1 sprig of fresh sage', 'olive oil', '1 fresh bay leaf', '1 organic litre chicken stock', 'CRISPY PARSNIPS', '1 parsnip', '2 sprigs of fresh sage']",4,Not too tricky,374.0,19.8,16.2,30.9,45 minutes,https://www.jamieoliver.com/recipes/vegetables-recipes/parsnip-sage-white-bean-soup/,soup onion large parsnip tin cannellini bean sprig fresh sage olive oil fresh bay leaf organic chicken stock crispy parsnip parsnip sprig fresh sage,soup onion parsnip cannellini sage chicken crispy parsnip parsnip sage
315,Healthy chicken Caesar,"['1 lemon', '15 g Parmesan cheese', '2 anchovy fillets in oil', '4 heaped tablespoons natural yoghurt', '½ teaspoon English mustard', '1 teaspoon Worcestershire sauce', 'white wine vinegar', 'extra virgin olive oil', '1 small red onion', '½ a small cauliflower (300g)', '1 romaine lettuce', 'olive oil', '1 sprig of fresh rosemary', '2 x 120 g free-range skinless chicken breasts', '1 thick slice of wholemeal bread']",2,Not too tricky,418.0,17.5,43.0,22.3,25 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/healthy-chicken-caesar/,lemon parmesan cheese anchovy fillet oil natural yoghurt english mustard worcestershire sauce white wine vinegar extra virgin olive oil small red onion a small cauliflower romaine lettuce olive oil sprig fresh rosemary free range skinless chicken breast thick wholemeal bread,lemon parmesan cheese anchovy yoghurt mustard wine onion cauliflower romaine lettuce rosemary chicken
316,Moroccan-style roast chicken,"['2 preserved lemons', '1 tablespoon ras el hanout', '1 dried chilli', '1 x 1.6kg whole free-range chicken', 'olive oil', '1 teaspoon rose petals (unsprayed) , optional', 'a few sprigs of fresh coriander']",4 to 6,Not too tricky,301.0,14.1,43.9,0.5,1 hour 30 minutes,https://www.jamieoliver.com/recipes/chicken-recipes/moroccan-style-roast-chicken/,preserved lemon ra el hanout dried chilli free range chicken olive oil rose petal optional a few sprig fresh coriander,preserved lemon ra el hanout chicken rose petal coriander
317,Five-spice salmon tacos,"['4 x 125 g salmon fillets, skin on, from sustainable sources', '2-3 teaspoons five spice powder', 'olive oil', '½ a bunch of fresh coriander', '½ a bunch of fresh mint', '150 g plain fat-free yoghurt', '1 cucumber', '2 shallots', '1 fresh red chilli', '1 tablespoon white wine vinegar', '1 pinch of sugar', '4 corn or flour tortillas']",4,Super easy,452.0,16.5,33.6,44.6,30 minutes,https://www.jamieoliver.com/recipes/fish-recipes/five-spice-salmon-tacos/,salmon skin from sustainable source five spice powder olive oil a bunch fresh coriander a bunch fresh mint plain fat free yoghurt cucumber shallot fresh red chilli white wine vinegar sugar corn or flour tortilla,salmon five coriander mint yoghurt cucumber shallot wine
